id,name,price,category,type,size,available
22f457ad-6caf-44f6-8a96-25a6dac5d422,"Эггенберг Б/а 0,3",270,Б/а пиво в стекле,,,True
7e8de672-27b5-43b6-ae18-5ebab405f7a0,Генри Вестонс Винтаж,770,Пиво разливное,Сидр,1л,True
7e8de672-27b5-43b6-ae18-5ebab405f7a0,Генри Вестонс Винтаж,370,Пиво разливное,Сидр,0.33л,True
7e8de672-27b5-43b6-ae18-5ebab405f7a0,Генри Вестонс Винтаж,570,Пиво разливное,Сидр,0.5л,True
c5ebdd2d-d7f5-44e7-8aa2-3535fe068f7e,Черновар,270,Пиво разливное,Светлое фильтр,0.33л,True
c5ebdd2d-d7f5-44e7-8aa2-3535fe068f7e,Черновар,390,Пиво разливное,Светлое фильтр,0.5л,True
c5ebdd2d-d7f5-44e7-8aa2-3535fe068f7e,Черновар,530,Пиво разливное,Светлое фильтр,1л,True
8fe6813b-7d97-4d30-a536-4c24174e082c,Бланш де Брюж,790,Пиво разливное,Светлое НЕфильтр,1л,False
8fe6813b-7d97-4d30-a536-4c24174e082c,Бланш де Брюж,590,Пиво разливное,Светлое НЕфильтр,0.5л,False
8fe6813b-7d97-4d30-a536-4c24174e082c,Бланш де Брюж,360,Пиво разливное,Светлое НЕфильтр,0.33л,False
46007e59-1bde-4869-9418-5be57ec339ec,"Курпфальц Брой Хеллес 0,5",350,Пиво бутылочное,Германия,,True
701dfc2c-02df-4934-a8a2-51a75a15f616,"Курпфальц Брой Ур-Вайцен 0,5",350,Пиво бутылочное,Германия,,True
40d05840-42ae-44de-a7e6-9915b7f80c19,"Барбе Руби 0,33",390,Пиво бутылочное,Бельгия,,True
1b5e103c-fd16-401d-bc9c-325688bb9b77,Балык,210,Закуски,Сырные,,True
0c725f9b-c4f2-414a-8521-6c270c6fdd4c,Косичка,210,Закуски,Сырные,,True
5aa8630f-d95a-426c-a6bd-3b69693d2a9d,Кальмар пяточка,250,Закуски,Рыбные,,True
c62b04d4-84c7-4544-baaf-94f26f8d1126,Кальмар со вкусом краба,250,Закуски,Рыбные,,True
f121dc6e-5aa2-4dc8-ba23-fa769fa89950,Юкола горбуши,250,Закуски,Рыбные,,True
79c6c13b-577f-476b-bd74-412494466e5f,Лосось,250,Закуски,Рыбные,,True
